run_id,rain_mult,imperv_mult,surf_n,infil_min,pipe_n,peak_discharge_cfs,total_flood_vol,num_flooded_nodes,continuity_error_pct,status
139,1.3567527327115438,1.1611092184606986,0.016487551697821776,1.1733050262938725,0.019842623434922435,22.95,0.011,1,0.014,ok
140,0.9300138047013973,0.9876130091833977,0.02171009322056483,1.0566644883406566,0.018171236616536496,17.97,0.0,0,0.028,ok
141,0.7231016169689369,0.7110496306898303,0.011654214683843723,1.1420286798501058,0.022799902222273703,10.21,0.0,0,0.02,ok
142,1.104808477201704,1.180390483027625,0.02985504373916152,0.9550825934892643,0.020204071586223286,22.58,0.001,1,0.015,ok
143,0.7557037130480743,0.9429253951195149,0.024296128022022048,1.2342065258329644,0.026277696721728864,13.65,0.0,0,0.014,ok
144,0.7487796286971198,1.2286804330085586,0.02893463797544611,0.3894166538852452,0.026386085898003054,16.97,0.0,0,0.0,ok
145,1.4711342734507122,0.734504720066194,0.029427509843511102,0.9679801582570059,0.02150638866355223,21.22,0.0,1,0.026,ok
146,0.9602998880815543,0.9243388474209101,0.01202175918600653,1.3915849373038294,0.02935169991886859,16.12,0.001,1,-0.012,ok
147,1.4380828964390242,0.7417515753501702,0.02930452128038622,0.7274570352461835,0.02390416883394337,19.47,0.001,1,0.02,ok
148,1.3143973428677205,0.8942655155548015,0.027003214946577845,1.4709964241187155,0.02557268964047911,18.33,0.005,1,0.004,ok
149,1.4464167967895885,1.1928002870067873,0.019305609573234433,0.9467363147011728,0.021988034259163833,20.96,0.024,1,0.011,ok
150,1.4291834423305356,1.1988130114708389,0.02725478565158492,1.240508396138402,0.012646036182408964,33.49,0.0,0,0.026,ok
151,1.1636347953992585,0.8400031171095341,0.02232664538453161,0.2702591490594438,0.014554490755000895,19.38,0.0,0,0.03,ok
152,1.2620615071334451,0.955419455186131,0.012480199787239792,1.2095992044222483,0.014195084718645834,24.13,0.0,0,0.031,ok
153,1.0279851843490861,0.9949740136302264,0.023728811226509737,0.1366791745440696,0.021236434327108124,19.95,0.0,0,0.024,ok
154,0.9396133777460174,1.0161169455394832,0.023745572575454885,0.5985366375340396,0.029999819827069348,15.77,0.002,1,0.0,ok
155,0.9098346088650522,1.2128570570962878,0.016617815747528013,0.5436584815744077,0.028067491321411956,16.83,0.005,1,0.007,ok
156,0.7683931784259933,1.2292974475829168,0.02458673061764865,1.0400500690824332,0.01404058331772253,18.02,0.0,0,0.029,ok
157,1.1202215422741773,0.8826242087850158,0.023793900833522515,0.8422822807854997,0.02070517211108322,19.45,0.0,0,0.022,ok
158,0.7220538308876393,0.7943031686874529,0.024667929845894186,0.618173485660067,0.02395686627873621,11.08,0.0,0,0.018,ok
159,1.3698456341513485,0.979577159022619,0.02729571146521189,0.28279696836953244,0.014165092533044023,26.48,0.0,0,0.028,ok
160,1.4956182713816681,0.882019416194644,0.020048179260629528,0.7471778914107176,0.011565210999013628,26.36,0.0,0,0.031,ok
161,1.1765700501416712,0.8287682854876843,0.0141854281304152,1.426028851165412,0.02631431256991471,17.86,0.001,1,0.008,ok
162,0.9079935878324266,1.101980104237723,0.024300262785886637,1.269204547381011,0.024219177420930296,19.08,0.0,1,0.014,ok
163,1.0329643164803934,0.9029435436398467,0.02317762438430177,0.2975968031134038,0.02337761888672297,18.26,0.0,0,0.02,ok
164,1.2599191684858049,0.8504865188693309,0.028012799302658296,1.245775498964685,0.02521822268327998,18.56,0.002,1,0.009,ok
